Transect,Visit,Sample,ID,Species,Note
151,1,3,151-1-3,Eastern Cottontail,
151,1,4,151-1-4,Eastern Cottontail,
159,1,1,159-1-1,Eastern Cottontail,
159,1,2,159-1-2,Eastern Cottontail,
159,1,3,159-1-3,Eastern Cottontail,
159,1,4,159-1-4,Eastern Cottontail,
160,1,1,160-1-1,UNKNOWN,
160,1,2,160-1-2,Eastern Cottontail,
160,1,3,160-1-3,UNKNOWN,
160,1,4,160-1-4,UNKNOWN,
160,2,1,160-2-1,UNKNOWN,
160,2,2,160-2-2,UNKNOWN,
160,2,3,160-2-3,UNKNOWN,
160,2,4,160-2-4,Eastern Cottontail,
160,2,5,160-2-5,UNKNOWN,
160,2,6,160-2-6,UNKNOWN,
166,1,1,166-1-1,Eastern Cottontail,
166,1,2,166-1-2,Eastern Cottontail,
166,1,3,166-1-3,Eastern Cottontail,
166,1,4,166-1-4,Eastern Cottontail,
166,1,5,166-1-5,Eastern Cottontail,
166,1,6,166-1-6,Eastern Cottontail,
170,1,1,170-1-1,Eastern Cottontail,
170,1,2,170-1-2,Eastern Cottontail,
170,1,3,170-1-3,Eastern Cottontail,
171,1,1,171-1-1,Appalachian Cottontail,
171,1,2,171-1-2,Appalachian Cottontail,
171,1,3,171-1-3,Appalachian Cottontail,
173,1,1,173-1-1,Eastern Cottontail,
173,1,2,173-1-2,Eastern Cottontail,
173,1,3,173-1-3,Eastern Cottontail,
173,1,4,173-1-4,Eastern Cottontail,
173,1,5,173-1-5,Eastern Cottontail,
174,1,1,174-1-1,Eastern Cottontail,
174,1,2,174-1-2,Eastern Cottontail,
177,1,1,177-1-1,UNKNOWN,
177,1,2,177-1-2,Eastern Cottontail,
177,1,3,177-1-3,UNKNOWN,
177,1,4,177-1-4,Eastern Cottontail,
177,1,5,177-1-5,Eastern Cottontail,
177,1,6,177-1-6,Eastern Cottontail,
177,1,7,177-1-7,Eastern Cottontail,
178,1,1,178-1-1,Appalachian Cottontail,
178,1,2,178-1-2,Appalachian Cottontail,
178,1,3,178-1-3,Appalachian Cottontail,
189,1,1,189-1-1,Eastern Cottontail,
189,1,2,189-1-2,Snowshoe Hare,
189,1,3,189-1-3,UNKNOWN,
189,2,1,189-2-1,Eastern Cottontail,
189,2,2,189-2-2,UNKNOWN,
189,2,3,189-2-3,UNKNOWN,
189,2,4,189-2-4,UNKNOWN,
189,2,5,189-2-5,Eastern Cottontail,
189,3,1,189-3-1,UNKNOWN,
189,3,2,189-3-2,UNKNOWN,
192,1,1,192-1-1,Snowshoe Hare,
192,1,2,192-1-2,Snowshoe Hare,
192,2,1,192-2-1,Snowshoe Hare,
192,2,2,192-2-2,Snowshoe Hare,
192,2,3,192-2-3,Snowshoe Hare,
192,2,4,192-2-4,Snowshoe Hare,
202,1,1,202-1-1,Snowshoe Hare,
202,2,1,202-2-1,UNKNOWN,
202,2,2,202-2-2,Snowshoe Hare,
202,2,3,202-2-3,Snowshoe Hare,
202,2,4,202-2-4,Snowshoe Hare,
202,2,5,202-2-5,Snowshoe Hare,
202,2,6,202-2-6,UNKNOWN,
203,1,1,203-1-1,UNKNOWN,
203,1,2,203-1-2,UNKNOWN,
203,1,3,203-1-3,UNKNOWN,
203,2,1,203-2-1,UNKNOWN,
203,2,2,203-2-2,UNKNOWN,
203,2,3,203-2-3,UNKNOWN,
203,2,4,203-2-4,UNKNOWN,
203,2,5,203-2-5,UNKNOWN,
203,2,6,203-2-6,UNKNOWN,
211,1,1,211-1-1,Snowshoe Hare,
211,2,1,211-2-1,UNKNOWN,
212,1,1,212-1-1,Snowshoe Hare,
212,1,2,212-1-2,UNKNOWN,
212,1,3,212-1-3,Snowshoe Hare,
212,1,4,212-1-4,UNKNOWN,
212,1,5,212-1-5,Snowshoe Hare,
212,1,6,212-1-6,UNKNOWN,
212,1,7,212-1-7,Eastern Cottontail,
213,1,1,213-1-1,Snowshoe Hare,
213,1,2,213-1-2,Snowshoe Hare,
213,1,3,213-1-3,Snowshoe Hare,
213,1,4,213-1-4,Snowshoe Hare,
213,1,5,213-1-5,Snowshoe Hare,
213,1,6,213-1-6,Snowshoe Hare,
213,1,7,213-1-7,Snowshoe Hare,
213,2,1,213-2-1,Snowshoe Hare,
213,2,2,213-2-2,Snowshoe Hare,
213,2,3,213-2-3,Snowshoe Hare,
213,2,4,213-2-4,Snowshoe Hare,
213,2,5,213-2-5,Snowshoe Hare,
213,2,6,213-2-6,Snowshoe Hare,
213,2,7,213-2-7,Snowshoe Hare,
215,1,1,215-1-1,Snowshoe Hare,
215,1,2,215-1-2,Snowshoe Hare,
215,1,3,215-1-3,Snowshoe Hare,
215,1,4,215-1-4,Snowshoe Hare,
215,2,1,215-2-1,Snowshoe Hare,
215,2,2,215-2-2,Snowshoe Hare,
215,2,3,215-2-3,Snowshoe Hare,
215,2,4,215-2-4,Snowshoe Hare,
215,2,5,215-2-5,Snowshoe Hare,
215,2,6,215-2-6,Snowshoe Hare,
218,1,1,218-1-1,Eastern Cottontail,
219,2,1,219-2-1,Snowshoe Hare,
219,2,2,219-2-2,Snowshoe Hare,
219,2,3,219-2-3,UNKNOWN,
219,2,4,219-2-4,Snowshoe Hare,
219,2,5,219-2-5,Snowshoe Hare,
219,2,6,219-2-6,Snowshoe Hare,
219,3,1,219-3-1,Snowshoe Hare,
219,3,2,219-3-2,Snowshoe Hare,
219,3,3,219-3-3,Snowshoe Hare,
223,1,1,223-1-1,Snowshoe Hare,
223,1,2,223-1-2,Snowshoe Hare,
223,1,3,223-1-3,Snowshoe Hare,
223,1,4,223-1-4,Snowshoe Hare,
223,1,5,223-1-5,Snowshoe Hare,
223,1,6,223-1-6,Snowshoe Hare,
223,1,7,223-1-7,Snowshoe Hare,
223,2,1,223-2-1,Snowshoe Hare,
223,2,2,223-2-2,Snowshoe Hare,
223,2,3,223-2-3,Snowshoe Hare,
223,2,4,223-2-4,Snowshoe Hare,
224,1,1,224-1-1,UNKNOWN,
224,2,1,224-2-1,UNKNOWN,
224,2,2,224-2-2,UNKNOWN,
224,2,3,224-2-3,UNKNOWN,
224,2,4,224-2-4,UNKNOWN,
224,2,5,224-2-5,UNKNOWN,
224,2,6,224-2-6,UNKNOWN,
226,1,1,226-1-1,Snowshoe Hare,Remove
226,2,1,226-2-1,Snowshoe Hare,
226,2,2,226-2-2,Snowshoe Hare,
227,1,1,227-1-1,UNKNOWN,
227,1,2,227-1-2,UNKNOWN,
227,1,3,227-1-3,UNKNOWN,
227,1,4,227-1-4,UNKNOWN,
227,1,5,227-1-5,UNKNOWN,
227,2,1,227-2-1,UNKNOWN,
227,2,2,227-2-2,UNKNOWN,
227,2,3,227-2-3,UNKNOWN,
227,2,4,227-2-4,UNKNOWN,
227,2,5,227-2-5,Eastern Cottontail,
227,2,6,227-2-6,UNKNOWN,
227,2,7,227-2-7,UNKNOWN,
229,1,1,229-1-1,UNKNOWN,
229,1,2,229-1-2,UNKNOWN,
229,1,3,229-1-3,UNKNOWN,
229,1,4,229-1-4,UNKNOWN,
229,1,5,229-1-5,UNKNOWN,
229,1,6,229-1-6,UNKNOWN,
229,1,7,229-1-7,Eastern Cottontail,
229,1,8,229-1-8,Eastern Cottontail,
230,1,1,230-1-1,Snowshoe Hare,
230,1,2,230-1-2,Snowshoe Hare,
230,1,3,230-1-3,Snowshoe Hare,
230,1,4,230-1-4,Snowshoe Hare,
230,1,5,230-1-5,Snowshoe Hare,
230,2,1,230-2-1,Snowshoe Hare,
230,2,2,230-2-2,Snowshoe Hare,
230,2,3,230-2-3,Snowshoe Hare,
231,1,1,231-1-1,Snowshoe Hare,
231,2,1,231-2-1,Snowshoe Hare,
231,2,2,231-2-2,Snowshoe Hare,
231,2,3,231-2-3,Snowshoe Hare,
231,2,4,231-2-4,Snowshoe Hare,
231,2,5,231-2-5,Snowshoe Hare,
232,1,1,232-1-1,Eastern Cottontail,
232,1,2,232-1-2,Eastern Cottontail,
232,1,3,232-1-3,Eastern Cottontail,
234,1,1,234-1-1,Eastern Cottontail,
234,1,2,234-1-2,Eastern Cottontail,
234,1,3,234-1-3,UNKNOWN,
234,2,1,234-2-1,UNKNOWN,
238,1,1,238-1-1,Snowshoe Hare,
238,1,2,238-1-2,Snowshoe Hare,
238,1,3,238-1-3,Snowshoe Hare,
238,2,1,238-2-1,Snowshoe Hare,
238,2,2,238-2-2,Snowshoe Hare,
238,2,3,238-2-3,Snowshoe Hare,
238,2,4,238-2-4,Snowshoe Hare,
238,2,5,238-2-5,Snowshoe Hare,
238,2,6,238-2-6,Snowshoe Hare,
238,2,7,238-2-7,Snowshoe Hare,
242,1,1,242-1-1,Snowshoe Hare,
242,1,2,242-1-2,Snowshoe Hare,
242,2,1,242-2-1,Snowshoe Hare,
242,2,2,242-2-2,Snowshoe Hare,
242,3,1,242-3-1,Snowshoe Hare,
242,3,2,242-3-2,Snowshoe Hare,
247,1,1,247-1-1,Snowshoe Hare,
247,2,1,247-2-1,Snowshoe Hare,
247,2,2,247-2-2,Snowshoe Hare,
250,1,1,250-1-1,Snowshoe Hare,
250,1,2,250-1-2,UNKNOWN,
250,1,3,250-1-3,Snowshoe Hare,
250,1,4,250-1-4,Snowshoe Hare,
250,1,5,250-1-5,Snowshoe Hare,
250,1,6,250-1-6,Snowshoe Hare,
250,2,1,250-2-1,Snowshoe Hare,
250,2,2,250-2-2,Snowshoe Hare,
250,2,3,250-2-3,Snowshoe Hare,
253,1,1,253-1-1,UNKNOWN,
253,1,2,253-1-2,UNKNOWN,
253,2,1,253-2-1,UNKNOWN,
253,2,2,253-2-2,UNKNOWN,
253,2,3,253-2-3,UNKNOWN,
253,2,4,253-2-4,UNKNOWN,
253,2,5,253-2-5,UNKNOWN,
253,2,6,253-2-6,UNKNOWN,
253,2,7,253-2-7,UNKNOWN,
253,2,8,253-2-8,UNKNOWN,
254,1,1,254-1-1,Snowshoe Hare,
254,1,2,254-1-2,Snowshoe Hare,
254,1,3,254-1-3,Snowshoe Hare,
254,1,4,254-1-4,Snowshoe Hare,
254,1,5,254-1-5,Snowshoe Hare,
254,1,6,254-1-6,Snowshoe Hare,
254,1,7,254-1-7,Snowshoe Hare,
254,1,8,254-1-8,Snowshoe Hare,
254,1,9,254-1-9,Snowshoe Hare,
254,1,10,254-1-10,Snowshoe Hare,
254,2,1,254-2-1,Snowshoe Hare,
254,2,2,254-2-2,Snowshoe Hare,
254,2,3,254-2-3,Snowshoe Hare,
260,1,1,260-1-1,Eastern Cottontail,
260,1,2,260-1-2,Snowshoe Hare,
260,1,3,260-1-3,Snowshoe Hare,
260,1,4,260-1-4,Snowshoe Hare,
260,2,1,260-2-1,Snowshoe Hare,
260,2,2,260-2-2,Snowshoe Hare,
260,2,3,260-2-3,Snowshoe Hare,
260,2,4,260-2-4,Snowshoe Hare,
260,2,5,260-2-5,Snowshoe Hare,
260,2,6,260-2-6,Snowshoe Hare,
260,2,7,260-2-7,Snowshoe Hare,
260,3,1,260-3-1,Snowshoe Hare,
260,3,2,260-3-2,Snowshoe Hare,
260,3,3,260-3-3,Snowshoe Hare,
265,1,1,265-1-1,Snowshoe Hare,
265,1,2,265-1-2,Snowshoe Hare,
265,1,3,265-1-3,Snowshoe Hare,
265,1,4,265-1-4,Snowshoe Hare,
265,1,5,265-1-5,Snowshoe Hare,
265,2,1,265-2-1,Snowshoe Hare,
265,2,2,265-2-2,Snowshoe Hare,
265,2,3,265-2-3,Snowshoe Hare,
267,1,1,267-1-1,UNKNOWN,
267,1,2,267-1-2,UNKNOWN,
267,1,3,267-1-3,Eastern Cottontail,
267,1,4,267-1-4,Eastern Cottontail,
267,1,5,267-1-5,Eastern Cottontail,
267,1,6,267-1-6,UNKNOWN,
267,1,7,267-1-7,UNKNOWN,
269,1,1,269-1-1,Snowshoe Hare,
269,1,2,269-1-2,Snowshoe Hare,
269,1,3,269-1-3,Snowshoe Hare,
269,1,4,269-1-4,Snowshoe Hare,
269,1,5,269-1-5,Eastern Cottontail,
269,1,6,269-1-6,Snowshoe Hare,
269,1,7,269-1-7,Snowshoe Hare,
269,1,8,269-1-8,Snowshoe Hare,
269,2,1,269-2-1,Snowshoe Hare,
269,2,2,269-2-2,Snowshoe Hare,
269,2,3,269-2-3,Snowshoe Hare,
269,2,4,269-2-4,Snowshoe Hare,
269,2,5,269-2-5,Snowshoe Hare,
269,2,6,269-2-6,Snowshoe Hare,
269,3,1,269-3-1,Snowshoe Hare,
269,3,2,269-3-2,Snowshoe Hare,
269,3,3,269-3-3,Snowshoe Hare,
269,3,4,269-3-4,Snowshoe Hare,
269,3,5,269-3-5,Snowshoe Hare,
269,3,6,269-3-6,UNKNOWN,
269,3,7,269-3-7,Snowshoe Hare,
269,3,8,269-3-8,Snowshoe Hare,
269,3,9,269-3-9,Snowshoe Hare,
274,1,2,274-1-2,UNKNOWN,
274,2,1,274-2-1,Eastern Cottontail,
274,2,2,274-2-2,Eastern Cottontail,
274,2,3,274-2-3,UNKNOWN,
279,1,1,279-1-1,UNKNOWN,
279,2,1,279-2-1,Eastern Cottontail,
279,2,2,279-2-2,UNKNOWN,
279,2,3,279-2-3,Snowshoe Hare,
279,2,4,279-2-4,Eastern Cottontail,
279,2,5,279-2-5,UNKNOWN,
279,2,6,279-2-6,Eastern Cottontail,
279,2,7,279-2-7,Eastern Cottontail,
285,1,1,285-1-1,UNKNOWN,
285,1,2,285-1-2,UNKNOWN,
285,1,3,285-1-3,UNKNOWN,
285,1,4,285-1-4,UNKNOWN,
285,1,5,285-1-5,Eastern Cottontail,
285,1,6,285-1-6,Eastern Cottontail,
285,1,7,285-1-7,UNKNOWN,
285,1,8,285-1-8,UNKNOWN,
285,1,9,285-1-9,UNKNOWN,
285,1,10,285-1-10,UNKNOWN,
285,1,11,285-1-11,Eastern Cottontail,
287,2,1,287-2-1,UNKNOWN,
287,2,2,287-2-2,UNKNOWN,
287,2,3,287-2-3,UNKNOWN,
287,2,4,287-2-4,UNKNOWN,
288,1,1,288-1-1,Eastern Cottontail,
288,1,2,288-1-2,UNKNOWN,
288,1,3,288-1-3,Eastern Cottontail,
288,1,4,288-1-4,Eastern Cottontail,
292,1,1,292-1-1,Eastern Cottontail,
292,1,2,292-1-2,Eastern Cottontail,
298,1,1,298-1-1,Snowshoe Hare,
298,1,2,298-1-2,Eastern Cottontail,
298,1,3,298-1-3,Snowshoe Hare,
298,1,4,298-1-4,Snowshoe Hare,
298,2,1,298-2-1,UNKNOWN,
298,2,2,298-2-2,UNKNOWN,
298,2,3,298-2-3,Eastern Cottontail,
298,2,4,298-2-4,Eastern Cottontail,
298,2,5,298-2-5,UNKNOWN,
298,3,1,298-3-1,UNKNOWN,
298,3,2,298-3-2,Eastern Cottontail,
298,3,3,298-3-3,Eastern Cottontail,
298,3,4,298-3-4,UNKNOWN,
300,1,1,300-1-1,Eastern Cottontail,
304,1,1,304-1-1,Eastern Cottontail,
310,1,1,310-1-1,Eastern Cottontail,
312,1,1,312-1-1,Eastern Cottontail,
312,1,2,312-1-2,Eastern Cottontail,
97,1,,,Snowshoe Hare,Tracks
192,1,,,Snowshoe Hare,Tracks
219,1,,,Snowshoe Hare,Tracks
238,1,,,Snowshoe Hare,Tracks
223,1,,,Snowshoe Hare,Tracks
223,1,,,Snowshoe Hare,Tracks
231,1,,,Snowshoe Hare,Tracks
242,2,,,Snowshoe Hare,Tracks
260,2,,,Snowshoe Hare,Tracks
247,1,,,Snowshoe Hare,Tracks
202,3,,,Snowshoe Hare,Tracks
51,3,,,Snowshoe Hare,Tracks
219,3,,,Snowshoe Hare,Tracks
265,2,,,Snowshoe Hare,Tracks
213,2,,,Snowshoe Hare,Tracks
253,1,,,Snowshoe Hare,Tracks
