transectid,survey_visit_no,snow_condition,last_snow_event
254,1,0 - 25%,6
254,2,0 - 25%,Over 7
258,1,,
260,1,75 - 100%,5
260,2,75 - 100%,3
260,3,0 - 25%,6
261,1,0 - 25%,Over 7
263,1,25 - 75%,7
264,1,25 - 75%,7
265,1,75 - 100%,1
265,2,75 - 100%,3
266,1,0 - 25%,2
267,1,0 - 25%,7
268,1,0 - 25%,4
269,1,0 - 25%,2
269,2,75 - 100%,4
269,3,0 - 25%,Over 7
273,1,75 - 100%,1
274,1,25 - 75%,Over 7
274,2,0 - 25%,Over 7
276,1,25 - 75%,Over 7
277,1,25 - 75%,Over 7
277,2,25 - 75%,6
279,1,0 - 25%,4
279,2,0 - 25%,5
280,1,0 - 25%,7
281,1,25 - 75%,Over 7
282,1,75 - 100%,2
283,1,75 - 100%,1
284,1,75 - 100%,2
285,1,0 - 25%,Over 7
286,1,0 - 25%,Over 7
287,1,75 - 100%,1
287,2,0 - 25%,Over 7
288,1,25 - 75%,5
290,1,75 - 100%,2
292,1,0 - 25%,Over 7
293,1,25 - 75%,Over 7
294,1,75 - 100%,1
295,1,0 - 25%,Over 7
297,1,0 - 25%,Over 7
298,1,75 - 100%,Over 7
298,2,0 - 25%,Over 7
298,3,0 - 25%,Over 7
300,1,75 - 100%,Over 7
301,1,0 - 25%,Over 7
302,1,0 - 25%,Over 7
303,1,0 - 25%,Over 7
304,1,25 - 75%,Over 7
305,1,25 - 75%,Over 7
306,1,75 - 100%,3
307,1,75 - 100%,Over 7
308,1,75 - 100%,3
309,1,75 - 100%,Over 7
310,1,75 - 100%,Over 7
311,1,0 - 25%,Over 7
312,1,75 - 100%,Over 7
313,1,75 - 100%,4
314,1,0 - 25%,Over 7
316,1,,
317,1,0 - 25%,Over 7
318,1,0 - 25%,Over 7
320,1,75 - 100%,7
321,1,0 - 25%,Over 7
323,1,75 - 100%,Over 7
325,1,75 - 100%,7
